x,FG5,FG100,Dynamic
0.0201,0.023954,,0.034107
0.0245,0.021358,,0.039948
0.044,0.011937,,0.066753
0.0468,0.012263,,0.070519
0.0496,0.015885,,0.073089
0.0527,0.040604,,0.07494
0.0848,0.055141,,0.082445
0.1015,0.061615,,0.084619
0.1206,0.069434,,0.086758
0.1565,0.081778,,0.090347
0.2327,0.090794,,0.097127
0.2876,0.088846,,0.101631
0.3015,0.089292,,0.102732
0.3932,0.094857,,0.108052
0.4327,0.096076,,0.109069
0.4599,0.096381,,0.109705
0.51,0.098027,,0.110818
0.6707,0.097055,,0.113948
0.7363,0.099899,,0.115014
0.7465,0.099003,,0.115166
0.7803,0.09787,,0.115645
0.8869,0.100595,0.01496,0.116925
0.908,0.100796,0.016258,0.117145
0.9702,0.098036,0.020144,0.117748
1.0726,0.101831,0.027064,0.118643
1.138,0.103805,0.032171,0.119185
1.1737,0.103414,0.035212,0.119479
1.2253,0.099694,0.039897,0.119903
1.2258,0.099665,0.039947,0.119908
1.3464,0.098774,0.050478,0.120897
1.3599,0.098777,0.051431,0.121006
1.5035,0.099432,0.060723,0.122164
1.5382,0.101753,0.063372,0.122438
1.5545,0.102514,0.064912,0.122565
1.6071,0.100157,0.073281,0.122974
1.6606,0.099512,0.080208,0.123379
1.6833,0.099832,0.083108,0.123549
1.7397,0.101384,0.091653,0.123956
1.7522,0.101806,0.093423,0.124045
1.8176,0.10399,0.100977,0.124488
1.8356,0.104388,0.103576,0.124606
1.887,0.10041,0.110193,0.124927
1.8974,0.099848,0.111048,0.12499
1.9813,0.09924,0.112836,0.125475
1.993,0.099437,0.112982,0.12554
2.0433,0.101126,0.114705,0.125814
2.0696,0.101794,0.115469,0.125956
2.1427,0.100577,0.117538,0.12635
2.1669,0.100886,0.118302,0.126483
2.1892,0.101375,0.119093,0.126606
2.2376,0.10196,0.121113,0.126877
2.3181,0.099606,0.123477,0.127328
2.3643,0.100724,0.124294,0.127583
2.3993,0.101899,0.124779,0.127773
2.4568,0.101964,0.125442,0.128076
2.5114,0.104807,0.125978,0.128354
2.6066,0.101561,0.126779,0.128804
2.6928,0.099396,0.127411,0.129173
2.698,0.099452,0.127447,0.129194
2.7308,0.101564,0.127669,0.129322
2.8134,0.100637,0.128201,0.12962
2.8331,0.100429,0.128323,0.129687
2.8842,0.101729,0.12863,0.12985
3.0084,0.101813,0.129318,0.1302
3.0523,0.100839,0.12954,0.130308
3.098,0.103009,0.129756,0.130413
3.169,0.104658,0.130062,0.13056
3.1762,0.105471,0.130091,0.130574
3.2151,0.104187,0.130239,0.130645
3.286,0.101737,0.13048,0.130757
3.3247,0.10041,0.1306,0.13081
3.3555,0.099871,0.130692,0.130847
3.3883,0.101577,0.13079,0.130882
3.4138,0.102552,0.130867,0.130907
3.5089,0.101173,0.131182,0.13098
3.5402,0.101872,0.131302,0.130999
3.5855,0.10288,0.131492,0.131024
3.6733,0.100365,0.13188,0.131069
3.7645,0.103127,0.132242,0.131122
3.8631,0.104104,0.132525,0.131208
3.8799,0.103452,0.132559,0.131227
3.9091,0.101627,0.132608,0.131264
3.9107,0.101588,0.132611,0.131266
3.9581,0.102157,0.132662,0.131334
4.0204,0.099884,0.132694,0.131437
4.097,0.101348,0.132703,0.131578
4.1883,0.100781,0.132704,0.131754
4.2868,0.104194,0.132717,0.131942
4.3637,0.100054,0.132743,0.132082
4.4366,0.103304,0.132784,0.132205
4.4936,0.104497,0.132826,0.132295
4.5206,0.103792,0.132849,0.132336
4.5374,0.102945,0.132865,0.132361
4.5939,0.099571,0.132922,0.132441
4.6266,0.101927,0.132959,0.132485
4.7144,0.09998,0.133066,0.132597
4.7764,0.102742,0.133148,0.132672
4.8751,0.101851,0.133285,0.132786
4.948,0.104288,0.13339,0.132866
5.0322,0.100311,0.133514,0.132954
5.127,0.104292,0.133655,0.13305
5.3354,0.099749,0.13396,0.133252
5.3739,0.099922,0.134014,0.133288
5.4485,0.102512,0.134118,0.133357
5.5363,0.100808,0.134234,0.133438
5.6055,0.104302,0.13432,0.133501
5.7026,0.10066,0.134431,0.133587
5.7043,0.100649,0.134433,0.133589
5.7918,0.104387,0.134522,0.133665
5.8408,0.102936,0.134567,0.133706
5.9394,0.101649,0.134648,0.133788
6.0003,0.0996,0.134691,0.133837
6.0423,0.100864,0.134718,0.13387
6.106,0.103094,0.134755,0.133919
6.139,0.101064,0.134772,0.133943
6.2121,0.101472,0.134806,0.133996
6.2996,0.10391,0.13484,0.134054
6.3692,0.100825,0.134862,0.134098
6.464,0.103832,0.134887,0.134152
6.5043,0.102046,0.134896,0.134174
6.5408,0.102859,0.134903,0.134193
6.687,0.099614,0.134932,0.134263
6.7217,0.100503,0.134939,0.134279
6.7473,0.102516,0.134945,0.13429
6.7563,0.103026,0.134947,0.134294
6.8221,0.101647,0.134963,0.134322
6.8842,0.101729,0.134979,0.134347
6.979,0.104086,0.135007,0.134384
7.0815,0.101571,0.135037,0.134422
7.1288,0.103521,0.135051,0.13444
7.1873,0.102872,0.135068,0.134461
7.3482,0.100114,0.135106,0.134517
7.4377,0.101658,0.135116,0.134548
7.4686,0.102147,0.135117,0.134558
7.5637,0.100931,0.135111,0.13459
7.6585,0.103937,0.135093,0.134622
7.7097,0.102071,0.135078,0.134639
7.8338,0.104185,0.135029,0.134679
7.8704,0.102724,0.135013,0.134691
7.9142,0.103618,0.134992,0.134706
7.9601,0.101799,0.13497,0.134721
7.971,0.101149,0.134965,0.134724
7.9875,0.100127,0.134957,0.13473
